Run,Cell,CellLine,s4U,Time,Method,Layout,Strand,Species,Total.Reads,Trimmed.Reads,Trimmed.Reads.Ratio,RiboRNA.Ratio,Clean.Reads,UniqMapped.Reads,UniqMapped.Ratio,Filtered.Reads,Uniq.Reads,Uniq.Ratio,Stranded.Reads,Forward,Reverse,Stranded.Ratio,AC.Ratio,AG.Ratio,AT.Ratio,CA.Ratio,CG.Ratio,CT.Ratio,GA.Ratio,GC.Ratio,GT.Ratio,TA.Ratio,TC.Ratio,TG.Ratio,Protein_coding,Protein_coding.Nascent,lncRNA,lncRNA.Nascent,Pe,Pc,Pc_Pe
20220113_NASCseq_K562,20220113_03_07,K562,0,3.0,NASC-seq,PE,UN,Human,4342224,4314715,0.993664767179215,0.2672310917407059,3161689,2244053,0.7097639900698646,1917046,1328742,0.6931195182588211,1264186,640050,624136,0.9514156999628219,0.0006105022969212,0.0004014839552779,0.0004032612857109,0.0005859062143325,0.000137118267073,0.000680289480264,0.0006354810084691,0.0002615627164266,0.0010638849862771,0.0007348355462533,0.0006989388602016,0.0011313420132495,5879,1437,374,61,0.0006296304432123,0.0008510170945358,1.3516136389370916
20220113_NASCseq_K562,20220113_03_08,K562,0,3.0,NASC-seq,PE,UN,Human,4370078,4339828,0.9930779267555407,0.32407782059565493,2933386,2344687,0.7993107623749482,2034816,1472758,0.7237794473800088,1391387,705807,685580,0.9447492391825405,0.0007312349514066,0.0004207238631942,0.0004149181149846,0.0005824077973119,0.0001536455591816,0.0006629645225813,0.000557494523519,0.0002360523716027,0.000944942535788,0.0006251611448375,0.0005823137933514,0.0010936531362927,8587,1644,868,55,0.0006067646332249,0.000687868668022,1.133666384551851
20220113_NASCseq_K562,20220113_04_02,K562,50,3.0,NASC-seq,PE,UN,Human,2452658,2432286,0.9916939092201196,0.30907755091300937,1680521,1275101,0.7587533865985608,1057961,781630,0.738807952278014,754482,377622,376860,0.965267453910418,0.0030443511998388,0.0005902381728222,0.0006071222421971,0.0005896921877706,0.000197271992416,0.0006462330736733,0.0005460367036544,0.0002996212883958,0.0009549810382927,0.0008714334855948,0.0115739152629137,0.0033102198459985,5726,3631,352,167,0.0006828362874134,0.0561599896394003,82.24517453829701
20220113_NASCseq_K562,20220113_04_04,K562,50,3.0,NASC-seq,PE,UN,Human,2581290,2559934,0.9917266173114992,0.2782294387277172,1847685,1249345,0.6761677450431215,910587,661520,0.7264764377264336,630244,318731,311513,0.952721006167614,0.0032476370616203,0.0005551439587843,0.0006883275495134,0.0007562542958965,0.000230660964187,0.0006922602505197,0.0005946757943756,0.0003919799869488,0.0013149246842298,0.0011335744071404,0.0099423163658519,0.0038625088028865,2859,1742,156,61,0.0006961422997615,0.0298786607050102,42.92033498789398
20220113_NASCseq_K562,20220113_04_05,K562,50,3.0,NASC-seq,PE,UN,Human,3243045,3223167,0.9938705753389175,0.23880518756862423,2453458,1895554,0.7726050333855318,1572484,1123453,0.7144447892633565,1089715,567440,522275,0.9699693712153512,0.00130813325637,0.0003953391631764,0.0004151207023224,0.0005531414782646,0.0001380582278051,0.0006082123645921,0.000496607624669,0.0002312073074452,0.0009002226671448,0.0006386944398611,0.0027140027438076,0.0016655815773846,3845,1505,223,62,0.0005561602057043,0.0277874689712462,49.96306583290384
20220113_NASCseq_K562,20220113_04_06,K562,50,3.0,NASC-seq,PE,UN,Human,3643941,3621146,0.9937444102415489,0.2477342808050269,2724064,2076012,0.7621010372737205,1776060,1221665,0.687851198720764,1183194,596356,586838,0.968509370408418,0.0007681773502806,0.0004708980663042,0.0003374027964882,0.0004816370770039,0.0001316234838756,0.0006241329394266,0.0005459351124658,0.0002114139946156,0.0007955874857998,0.000574926947894,0.0080899522781098,0.0011136509224445,5996,3248,351,128,0.0006161839770572,0.0527006529178616,85.52746400441204
20220113_NASCseq_K562,20220113_04_07,K562,50,3.0,NASC-seq,PE,UN,Human,3039145,3017742,0.9929575587870931,0.1497079604552013,2565962,1950054,0.7599699449952884,1694385,1197045,0.7064775715082463,1123780,568374,555406,0.9387951163072399,0.0016444791986959,0.0004541730087611,0.0004481568398057,0.000619630465016,0.0001699767393609,0.0005431268281982,0.0004696799569459,0.0002519772021845,0.0008713844825626,0.0006451330418291,0.0102650920376282,0.0019079872939772,3559,1882,186,76,0.0005566163419267,0.0559038435999513,100.43514605847392
20220113_NASCseq_K562,20220113_04_08,K562,50,3.0,NASC-seq,PE,UN,Human,3431832,3409351,0.9934492714095562,0.1842168788135924,2781291,2119006,0.7618785664642787,1786639,1198596,0.6708663585648807,1149868,571044,578824,0.959345767881755,0.0016581395570398,0.0004379608023094,0.0004589911342413,0.0007528402485642,0.0001765247452977,0.0004823205599703,0.0004045120332867,0.0002449672186498,0.0010126457879392,0.0006722826729753,0.006614366304365,0.001949659057785,4945,2290,358,115,0.0005072909512529,0.038344043060914,75.58589989868926
20220113_NASCseq_K562,20220113_05_01,K562,50,3.0,NASC-seq,PE,UN,Human,5118437,5086119,0.9936859631172563,0.21059475800703842,4015009,2942566,0.7328915078397085,2609061,1834063,0.7029590339206327,1698783,853856,844927,0.926240265465254,0.0006587251913592,0.0005595557603943,0.0003764541582664,0.0005598661080594,0.0001359786904207,0.0006381846037922,0.0005819840902345,0.0002317406268028,0.0009037718548323,0.0006452085494856,0.0100756977347995,0.0009864403903936,5445,3098,301,114,0.0006775746230082,0.0460337334489902,67.93898691868884
20220113_NASCseq_K562,20220113_05_02,K562,50,3.0,NASC-seq,PE,UN,Human,3614109,3589875,0.9932946128630874,0.19996322991747628,2872032,2277168,0.792876959588194,1909842,1377665,0.7213502478215476,1336936,682533,654403,0.9704362090929217,0.0007399143926648,0.0004312566093989,0.0003776769928631,0.0004806577976808,0.0001342093479782,0.0006574475297331,0.0006091181192759,0.0002361643664098,0.0008829542569793,0.0006810830303502,0.008668696377051,0.0011219797895617,5223,3146,375,153,0.0006284544167265,0.0389874367106364,62.03701600780239
